%time powercore powersram powertrans tempcore tempsram temptrans
3.554 0.19765 1.46737 0.38215 2.00066051428 1.48606381289 1.35848256529
3.555 0.19739 1.46737 0.38215 1.98399582674 1.48656267742 1.34620406306
3.556 0.2036 1.4652 0.40096 1.99798910161 1.48616160989 1.35735311548
3.557 0.19713 1.46737 0.38215 1.99850779938 1.48615242202 1.35857466647
3.558 0.19707 1.46737 0.38215 1.98148559274 1.48664716619 1.34629573933
3.559 0.20374 1.4652 0.40096 1.99716507378 1.48624465081 1.3574401831
3.56 0.19695 1.46737 0.38215 1.99824695704 1.48623609016 1.35866117525
3.561 0.19707 1.46737 0.38215 1.98098636611 1.4867307646 1.34637964476
3.562 0.20412 1.4652 0.40096 1.99817044212 1.48632974986 1.35752521261
3.563 0.19799 1.46737 0.38215 2.0022731359 1.48632733826 1.35874666746
3.564 0.19699 1.46737 0.38215 1.98420678181 1.4868274731 1.34646939961
3.565 0.20342 1.4652 0.40096 1.99671457196 1.48642361116 1.35761662755
3.566 0.19716 1.46737 0.38215 1.99816083439 1.4864130979 1.35883887434
3.567 0.19725 1.46737 0.38215 1.98218555016 1.48690931706 1.34655868622
3.568 0.20339 1.4652 0.40096 1.99698882448 1.48650708414 1.35770430453
3.569 0.19801 1.46737 0.38215 2.00039510307 1.48650052187 1.3589249127
3.57 0.19699 1.46737 0.38215 1.98411749937 1.48700004718 1.34664595332
3.571 0.2036 1.4652 0.40096 1.99726526489 1.4865978173 1.35779253228
3.572 0.19739 1.46737 0.38215 1.99946861046 1.48658910118 1.35901459274
3.573 0.19759 1.46737 0.38215 1.98405662914 1.4870878381 1.34673547397
3.574 0.20408 1.4652 0.40096 2.00022349022 1.48668948108 1.35788293849
3.575 0.19761 1.46737 0.38215 2.00181968386 1.48668469497 1.35910606192
3.576 0.19713 1.46737 0.38215 1.98389989202 1.48718193414 1.34682848006
3.577 0.2038 1.4652 0.40096 1.99837839437 1.48677917552 1.35797565619
3.578 0.19687 1.46737 0.38215 1.99891141909 1.48676949502 1.3591974759
3.579 0.19693 1.46737 0.38215 1.98098755408 1.48726251009 1.34691681905
3.58 0.2036 1.4652 0.40096 1.99686770059 1.48685819835 1.35806104945
3.581 0.19819 1.46737 0.38215 2.00168803596 1.48685321276 1.35928114768
3.582 0.19719 1.46737 0.38215 1.98560347368 1.48735459544 1.34700208569
3.583 0.20452 1.4652 0.40096 2.00083030482 1.48695592144 1.35814986792
3.584 0.19785 1.46737 0.38215 2.00402364096 1.48695278913 1.35937430532
3.585 0.19761 1.46737 0.38215 1.98639675961 1.4874532833 1.3470983461
3.586 0.20317 1.4652 0.40096 1.99861170371 1.48704987167 1.35824716198
3.587 0.19745 1.46737 0.38215 1.99914567209 1.48703805291 1.35946925835
3.588 0.19834 1.46708 0.38215 1.98666411345 1.48746846635 1.34718967208
